Study_ID,ES_ID,Title,Year,Authors,Outcome_Name,Outcome_Dimension,Blooms_Level,n_Treatment,n_Control,M_Treatment,SD_Treatment,M_Control,SD_Control,Hedges_g,SE_g,Verification_Status,Verification_Confidence,Data_Tier
8,008_02,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025.0,Litian Hong,Technical proficiency,cognitive,apply,210.0,210.0,3.9,0.6,2.3,0.7,2.4499,0.1291,PARTIALLY_VERIFIED,50.0,2
8,008_03,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025.0,Litian Hong,Application capability,cognitive,apply,210.0,210.0,4.0,0.4,2.6,0.5,3.0865,0.1444,PARTIALLY_VERIFIED,50.0,2
8,008_04,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025.0,Litian Hong,Innovation competency,cognitive,create,210.0,210.0,3.7,0.5,2.4,0.6,2.3497,0.1269,PARTIALLY_VERIFIED,50.0,2
8,008_05,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025.0,Litian Hong,Collaborative skills,behavioral,,210.0,210.0,3.8,0.4,2.7,0.5,2.4251,0.1286,PARTIALLY_VERIFIED,50.0,2
8,008_06,Development and validation of a competency-based ladder pathway for AI literacy enhancement among higher vocational students,2025.0,Litian Hong,Overall AI literacy,cognitive,understand,210.0,210.0,3.9,0.3,2.5,0.4,3.9527,0.1677,PARTIALLY_VERIFIED,50.0,2
11,011_01,Effects of artificial intelligence based physiotherapy educational approach in developing clinical reasoning skills: a randomized controlled trial,2025.0,,theoretical knowledge test,cognitive,understand,20.0,20.0,,,,,3.0776,,OCR_VERIFIED,100.0,1
11,011_02,Effects of artificial intelligence based physiotherapy educational approach in developing clinical reasoning skills: a randomized controlled trial,2025.0,,Mini Clinical Evaluation Exercise,cognitive,apply,20.0,20.0,,,,,,,OCR_VERIFIED,100.0,1
11,011_03,Effects of artificial intelligence based physiotherapy educational approach in developing clinical reasoning skills: a randomized controlled trial,2025.0,,AI self-efficacy,affective,,20.0,20.0,,,,,1.6662,,OCR_VERIFIED,100.0,1
11,011_04,Effects of artificial intelligence based physiotherapy educational approach in developing clinical reasoning skills: a randomized controlled trial,2025.0,,internet addiction,behavioral,,20.0,20.0,,,,,,,OCR_VERIFIED,100.0,1
11,011_05,Effects of artificial intelligence based physiotherapy educational approach in developing clinical reasoning skills: a randomized controlled trial,2025.0,,reading motivation,affective,,20.0,20.0,,,,,1.284,,OCR_VERIFIED,100.0,1
12,012_01,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,overall writing score,cognitive,create,125.0,134.0,,,,,,,OCR_VERIFIED,100.0,1
12,012_02,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,content score,cognitive,create,125.0,134.0,,,,,,,OCR_VERIFIED,100.0,1
12,012_03,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,organization score,cognitive,create,125.0,134.0,,,,,,,OCR_VERIFIED,100.0,1
12,012_04,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,language usage score,cognitive,apply,125.0,134.0,,,,,,,OCR_VERIFIED,100.0,1
12,012_05,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,writing motivation score,affective,,125.0,134.0,,,,,,,OCR_VERIFIED,100.0,1
12,012_06,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,perceived usefulness,affective,,125.0,134.0,,,,,,,OCR_VERIFIED,100.0,1
12,012_07,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,perceived ease of use,affective,,125.0,134.0,,,,,,,OCR_VERIFIED,100.0,1
12,012_08,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,attitude toward use,affective,,125.0,134.0,,,,,,,OCR_VERIFIED,100.0,1
12,012_09,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,perceived stress,affective,,125.0,134.0,24.97,5.54,24.6,5.56,0.0665,0.1244,OCR_VERIFIED,100.0,1
12,012_10,Enhancing Critical Writing Through AI Feedback: A Randomized Control Study,2025.0,Kai Zhang,AI engagement,behavioral,,125.0,,,,,,,,OCR_VERIFIED,100.0,1
